timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1777227274569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038545873,0.008509728,1.2033026e-10,0.013982138,-0.008140115,-9.784431,-0.00023435819,0.0010652643,0.00057524286,0.0004703654,0.0009491571,0.0015837741,7.657646e-05,0.0002313077,2.3024855e-05,0.0,0.0
1777227275569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03860788,0.007725374,7.848623e-11,0.016663644,-0.004596696,-9.799085,-0.00083090627,-0.0009374326,-0.002151834,0.00080273754,0.00096201635,0.00089790113,7.8042234e-05,4.939355e-05,2.4338373e-05,0.0,0.0
1777227276569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038810506,0.007954711,7.736901e-11,-0.0016280571,-0.0013405822,-9.809906,-0.0006178534,0.0012357067,-0.0012783173,0.001127677,0.0007533451,0.00063909753,7.4391995e-05,5.2146363e-05,3.8606446e-05,0.0,0.0
1777227277569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037910905,0.007998441,1.0587178e-10,0.011109096,0.014078076,-9.784049,0.00049002166,0.0029188246,0.0038136467,0.0019183196,0.0009841808,0.0014096958,4.7351885e-05,0.0001052781,6.202754e-05,0.0,0.0
1777227278569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0382271,0.0076929717,1.0223017e-10,-0.010055647,-0.02030266,-9.785869,-0.00012783163,0.0014487596,0.002428803,0.0014220638,0.0017440798,0.0010503029,6.785751e-05,8.720187e-05,4.1752646e-05,0.0,0.0
1777227279569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03967348,0.008017151,8.2360424e-11,-0.011204864,-0.014460807,-9.796116,0.004665858,-0.0017470338,-0.0017257284,0.0010221088,0.00051278365,0.00084789586,3.705273e-05,7.954205e-05,4.7856865e-05,0.0,0.0
1777227280569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038565338,0.008467933,6.9922804e-11,0.005267244,-0.023079934,-9.809332,0.0026631614,0.00085221155,0.0005752428,0.0011827443,0.0008363665,0.0025500432,5.1065475e-05,4.827579e-05,4.0141247e-05,0.0,0.0
1777227281569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040417343,0.0082266135,8.5184367e-11,-0.004979939,-0.009576635,-9.790082,-0.0007243797,-0.0012144017,0.0035153728,0.000705978,0.0008990003,0.0014693306,6.947931e-05,0.00013434287,2.6974863e-05,0.0,0.0
1777227282569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040933102,0.008257742,8.6296914e-11,0.005746084,-0.015226952,-9.795637,-0.0010652645,-0.002812298,-0.001043959,0.0011344983,0.0006868515,0.0019064555,6.621963e-05,9.3774186e-05,4.2376778e-05,0.0,0.0
1777227283569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.036898244,0.008350324,1.6689461e-10,0.00794875,0.013120396,-9.761543,-0.0124849,0.00479369,0.00044741106,0.00093803665,0.0011001624,0.0012107783,0.00032270735,0.0001812588,4.670789e-05,0.0,0.0
