timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1777227544985000,2.238459e-05,5.6380195e-06,-9.644014e-05
1777227545185000,0.00014890083,3.2766737e-05,-9.322353e-05
1777227545385000,8.105044e-05,-1.2137552e-06,-1.2921754e-06
1777227545585000,-3.2358243e-05,1.3975041e-06,7.6304204e-05
1777227545785000,-2.8147708e-05,-1.5805877e-05,3.4115394e-05
1777227545985000,-1.7862956e-05,-2.0988902e-05,2.3781942e-05
1777227546185000,-0.00011715109,-3.050116e-05,0.00010089009
1777227546385000,-0.00010483546,8.757395e-05,4.770472e-06
1777227546585000,-6.8632624e-05,3.8871964e-05,-1.0989028e-05
1777227546785000,1.5888218e-06,1.353532e-05,-6.566002e-05
1777227546985000,7.1131755e-05,-1.0766543e-05,-8.8415574e-05
1777227547185000,4.075685e-05,1.5775637e-05,-6.5229346e-05
1777227547385000,-1.743064e-05,1.8971481e-05,-1.8861003e-05
1777227547585000,-4.7437763e-05,1.5754506e-05,2.3757962e-05
1777227547785000,-3.5370136e-05,5.8651174e-05,7.029889e-05
1777227547981000,-2.0184914e-05,2.2556226e-06,9.609271e-05
1777227548185000,-4.237043e-05,-7.368617e-07,6.349675e-05
1777227548385000,-4.7187066e-05,-7.6232536e-06,4.4087625e-05
1777227548581000,-1.288547e-05,-1.6841073e-05,1.4641058e-05
1777227548785000,-7.177701e-05,3.4030705e-05,1.8030178e-06
1777227548985000,-1.6883334e-05,-6.471232e-05,-9.90006e-05
1777227549185000,0.00016174122,-8.031759e-05,-5.512817e-05
1777227549385000,0.00011445697,-9.141321e-05,-1.9122543e-05
1777227549585000,8.861054e-05,-4.0605562e-05,-1.6615319e-05
1777227549785000,-9.730412e-06,-1.7899667e-05,2.405571e-05
1777227549985000,-7.3586816e-05,-2.3508437e-07,3.1734107e-05
1777227550185000,-3.6746595e-05,2.864868e-05,-6.3457383e-06
1777227550385000,-2.2931365e-05,1.864302e-05,-6.2504805e-05
1777227550585000,5.328492e-05,-2.7947095e-05,-7.43176e-05
1777227550785000,0.00013061862,-7.845787e-05,-7.35176e-05
1777227550985000,6.234704e-05,-4.133849e-05,2.0927395e-05
1777227551185000,1.5388914e-05,-6.9535454e-05,3.8970134e-05
1777227551385000,-3.9304537e-05,-2.8769013e-05,4.5725552e-05
1777227551585000,-1.4832583e-05,4.069331e-05,3.6995858e-05
1777227551785000,-8.6170105e-05,3.7039063e-05,1.2286636e-05
1777227551985000,-0.000116623334,9.685168e-05,-5.279111e-06
1777227552185000,-4.5980414e-07,3.244781e-05,-2.991792e-06
1777227552385000,-1.0139999e-05,0.0019934212,5.816407e-05
1777227552585000,-7.051777e-05,0.0028525447,0.0001204153
1777227552785000,-7.000977e-05,0.0007739752,-0.00016160279
1777227552985000,0.0001968895,-0.00030358112,-0.0003534878
1777227553185000,0.00013400539,0.001423252,-0.00019662491
1777227553385000,-2.3449482e-05,0.001384416,5.191143e-05
1777227553585000,-0.0001362403,-0.0011200663,0.00023251143
1777227553785000,-0.00015730648,-0.0022678194,0.00021013855
1777227553985000,-1.8141864e-05,-0.002482606,8.646223e-05
1777227554185000,0.00012803558,-0.0023007845,-3.0808045e-05
1777227554385000,0.00016419133,-0.0018606525,-6.227461e-05
1777227554585000,4.172006e-05,-0.001329613,-1.6918346e-05
1777227554785000,-4.336737e-06,-0.0009234609,-1.6018708e-05
1777227554985000,3.7222326e-05,-0.00050429226,-1.0283277e-05
1777227555185000,1.0671514e-06,-0.00011171782,3.4898556e-05
1777227555385000,-2.9575216e-05,0.00010092099,5.053892e-05
1777227555585000,-7.060652e-06,0.0002556502,4.987022e-05
1777227555785000,-4.9345804e-06,0.00042369484,3.2728552e-05
1777227555985000,-8.837585e-06,0.0005679877,4.9070903e-05
1777227556185000,-7.4191607e-06,0.00064247387,1.1706345e-07
1777227556385000,-2.0296773e-05,0.000690623,-6.1198545e-05
1777227556585000,7.9241e-05,0.0006564884,-5.229522e-05
1777227556785000,4.7509257e-06,0.0006433794,-5.522537e-05
1777227556985000,-3.2752418e-05,0.0005075435,-1.971662e-05
1777227557185000,-4.0138893e-05,0.00044270186,2.6407558e-06
1777227557385000,-6.94076e-05,0.00033989587,1.948736e-05
1777227557585000,-4.8234775e-05,0.00025806695,5.22386e-06
1777227557785000,1.8340485e-05,0.00017938617,2.286923e-05
1777227557985000,-3.432053e-05,8.414701e-05,5.35114e-06
1777227558185000,-8.511692e-06,4.345981e-05,6.8418136e-05
1777227558385000,8.005923e-07,-8.27594e-05,5.8595007e-05
1777227558585000,-5.163672e-05,-0.0001214329,9.901218e-05
1777227558785000,4.6460995e-05,-0.00018137232,2.982216e-05
1777227558985000,8.1509155e-05,-0.00019896166,3.2324408e-08
1777227559185000,5.046294e-05,-0.0002360383,-5.547715e-05
1777227559385000,0.00011669631,-0.00021443622,-5.7349564e-05
1777227559585000,5.604492e-05,-0.00022725183,-2.2773926e-05
1777227559785000,2.780042e-05,-0.00022034418,-1.6384247e-05
1777227559985000,2.7634146e-06,-0.00018364075,-2.7630173e-05
1777227560185000,4.183177e-05,-0.000116084746,1.7903607e-05
1777227560385000,3.868338e-05,-7.836966e-05,9.738749e-06
1777227560585000,-1.6404745e-05,-5.9413058e-05,-8.575203e-06
1777227560785000,-2.1162949e-05,-4.1911364e-05,3.0609654e-06
1777227560981000,-2.8710501e-05,-5.2741383e-05,4.1255014e-05
1777227561185000,-2.4499916e-05,2.1322048e-05,-4.5830835e-05
1777227561385000,5.8057634e-05,3.923894e-05,-3.941048e-05
1777227561585000,-9.742851e-06,0.000120351164,-3.7316553e-05
1777227561785000,-3.809041e-05,0.00010307362,-4.5162433e-05
1777227561985000,-3.0278054e-05,0.00010545037,-5.0424747e-05
1777227562185000,1.3820196e-05,0.000112956055,-3.1006122e-05
