timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225649513000,1777225649359000,0,47.397742,8.5455939,0,90.25,90.25,-5240971.0,-951291.2,-95.00006,-95.00006,90.250114,90.25011,12174069000.0,401087580.0,-4.0,-4.0,0,1,0
1777225649569000,1777225649411000,0,47.3977419,8.545594,0,86.490005,86.490005,-5240971.0,-951291.2,-93.00008,-93.00008,86.49014,86.49014,12703310000.0,418523940.0,-4.0,-4.0,0,1,0
1777225649617000,1777225649463000,0,47.3977419,8.5455939,0,82.80999,82.80999,-5240971.0,-951291.2,-91.00003,-91.00003,82.81006,82.81006,13267846000.0,437123170.0,-4.0,-4.0,0,1,0
1777225649673000,1777225649515000,0,47.3977419,8.545594,0,79.20999,79.20999,-5240971.0,-951291.2,-89.000046,-89.000046,79.21008,79.21008,13870849000.0,456989760.0,-4.0,-4.0,0,1,0
1777225649721000,1777225649567000,0,47.3977418,8.545594,0,75.8641,75.8641,-5240971.0,-951291.2,-87.10006,-87.10006,75.864204,75.864204,14482602000.0,477144600.0,-4.0,-4.0,0,1,0
1777225649777000,1777225649619000,0,47.3977418,8.545593799999999,0,72.59039,72.59039,-5240971.0,-951291.1,-85.20008,-85.20008,72.59053,72.59053,15135736000.0,498662700.0,-4.0,-4.0,0,1,0
1777225649825000,1777225649671000,0,47.3977418,8.5455936,0,69.5556,69.5556,-5240971.0,-951291.1,-83.40004,-83.40004,69.55567,69.55567,15796139000.0,520420380.0,-4.0,-4.0,0,1,0
1777225649881000,1777225649723000,0,47.3977419,8.545593799999999,0,66.585594,66.585594,-5240971.0,-951291.1,-81.60005,-81.60005,66.585686,66.585686,16500710000.0,543633200.0,-4.0,-4.0,0,1,0
1777225649929000,1777225649775000,0,47.397742,8.545594,0,63.840096,63.840096,-5240971.0,-951291.2,-79.90006,-79.90006,63.840206,63.840206,17210331000.0,567012540.0,-4.0,-4.0,0,1,0
1777225649985000,1777225649827000,0,47.3977419,8.5455939,0,61.152393,61.152393,-5240971.0,-951291.2,-78.20008,-78.20008,61.15253,61.15253,17966731000.0,591932900.0,-4.0,-4.0,0,1,0
1777225650033000,1777225649879000,0,47.3977419,8.545594,0,58.522495,58.522495,-5240971.0,-951291.2,-76.500046,-76.500046,58.522564,58.522564,18774145000.0,618534000.0,-4.0,-4.0,0,1,0
1777225650089000,1777225649931000,0,47.3977419,8.545594,0,56.100098,56.100098,-5240971.0,-951291.2,-74.900055,-74.900055,56.100185,56.100185,19584803000.0,645242000.0,-4.0,-4.0,0,1,0
1777225650137000,1777225649983000,0,47.397742,8.545594,0,53.728897,53.728897,-5240971.0,-951291.2,-73.30008,-73.30008,53.729008,53.729008,20449122000.0,673717950.0,-4.0,-4.0,0,1,0
1777225650193000,1777225650035000,0,47.397742,8.545594,0,51.4089,51.4089,-5240971.0,-951291.2,-71.700096,-71.700096,51.40904,51.40904,21371945000.0,704121300.0,-4.0,-4.0,0,1,0
1777225650241000,1777225650087000,0,47.397742099999995,8.545594,0,49.2804,49.2804,-5240971.0,-951291.2,-70.20005,-70.20005,49.280468,49.280468,22295063000.0,734534340.0,-4.0,-4.0,0,1,0
1777225650297000,1777225650139000,0,47.397742,8.5455942,0,47.1969,47.1969,-5240971.0,-951291.2,-68.700066,-68.700066,47.196987,47.196987,23279264000.0,766959900.0,-4.0,-4.0,0,1,0
1777225650345000,1777225650191000,0,47.397742,8.545594099999999,0,45.158398,45.158398,-5240971.0,-951291.2,-67.20008,-67.20008,45.15851,45.158504,24330103000.0,801580900.0,-4.0,-4.0,0,1,0
1777225650401000,1777225650243000,0,47.3977419,8.5455942,0,43.2964,43.2964,-5240971.0,-951291.2,-65.8001,-65.8001,43.296535,43.296535,25376422000.0,836053000.0,-4.0,-4.0,0,1,0
1777225650449000,1777225650295000,0,47.3977419,8.5455942,0,41.473602,41.473602,-5240971.0,-951291.2,-64.400055,-64.400055,41.47367,41.47367,26491773000.0,872799400.0,-4.0,-4.0,0,1,0
1777225650505000,1777225650347000,0,47.3977419,8.545594,0,39.689995,39.689995,-5240971.0,-951291.2,-63.000065,-63.000065,39.690083,39.690083,27682257000.0,912021200.0,-4.0,-4.0,0,1,0
1777225650553000,1777225650399000,0,47.397742,8.5455942,0,38.0689,38.0689,-5240971.0,-951291.2,-61.70009,-61.70009,38.069008,38.069008,28861039000.0,950857340.0,-4.0,-4.0,0,1,0
1777225650609000,1777225650451000,0,47.3977419,8.545594099999999,0,36.481598,36.481598,-5240971.0,-951291.2,-60.400116,-60.400116,36.481735,36.481735,30116743000.0,992227900.0,-4.0,-4.0,0,1,0
1777225650657000,1777225650503000,0,47.397742,8.545594,0,34.928097,34.928097,-5240971.0,-951291.2,-59.100056,-59.100056,34.928165,34.928165,31456307000.0,1036361200.0,-4.0,-4.0,0,1,0
