timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
1777226227781000,1777226227757000,6620172,487.89154,95600.43,15.0,1.1556013,0,1
1777226227833000,1777226227809000,6620172,487.89624,95600.37,15.0,1.1556005,0,1
1777226227885000,1777226227861000,6620172,487.9338,95599.95,15.0,1.1555955,0,1
1777226227937000,1777226227913000,6620172,487.86337,95600.766,15.0,1.1556053,0,1
1777226227989000,1777226227965000,6620172,487.9291,95599.984,15.0,1.1555959,0,1
1777226228041000,1777226228017000,6620172,487.9103,95600.195,15.0,1.1555984,0,1
1777226228093000,1777226228069000,6620172,487.85397,95600.875,15.0,1.1556067,0,1
1777226228145000,1777226228121000,6620172,487.88684,95600.46,15.0,1.1556017,0,1
1777226228197000,1777226228173000,6620172,487.85397,95600.86,15.0,1.1556065,0,1
1777226228249000,1777226228225000,6620172,487.89154,95600.41,15.0,1.155601,0,1
1777226228301000,1777226228277000,6620172,487.9056,95600.3,15.0,1.1555997,0,1
1777226228353000,1777226228329000,6620172,487.89624,95600.37,15.0,1.1556005,0,1
1777226228405000,1777226228381000,6620172,487.90094,95600.34,15.0,1.1556003,0,1
1777226228457000,1777226228433000,6620172,487.86337,95600.79,15.0,1.1556057,0,1
1777226228509000,1777226228485000,6620172,487.87277,95600.664,15.0,1.1556041,0,1
1777226228561000,1777226228537000,6620172,487.85867,95600.83,15.0,1.155606,0,1
1777226228613000,1777226228589000,6620172,487.8399,95601.01,15.0,1.1556083,0,1
1777226228665000,1777226228641000,6620172,487.9056,95600.3,15.0,1.1555997,0,1
1777226228717000,1777226228693000,6620172,487.87277,95600.66,15.0,1.1556041,0,1
1777226228769000,1777226228745000,6620172,487.85867,95600.836,15.0,1.1556062,0,1
1777226228821000,1777226228797000,6620172,487.86807,95600.7,15.0,1.1556046,0,1
1777226228873000,1777226228849000,6620172,487.84457,95600.984,15.0,1.1556079,0,1
1777226228925000,1777226228901000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
