timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777225956769000,1777225956769000,0.49224687,0.48335415,0.4907124,0.48669237,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956869000,1777225956869000,0.4913005,0.48896554,0.49545783,0.48731792,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956969000,1777225956969000,0.49200112,0.4845242,0.4873061,0.490168,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957069000,1777225957069000,0.48841697,0.49330708,0.48971078,0.4931594,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957165000,1777225957165000,0.48600283,0.4921109,0.48865828,0.48999482,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957269000,1777225957269000,0.4968153,0.48659107,0.49363336,0.49164614,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957365000,1777225957365000,0.49124056,0.4888438,0.48883054,0.49170038,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957469000,1777225957469000,0.49095,0.49484494,0.49250478,0.49343053,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957569000,1777225957569000,0.49125937,0.49152696,0.49056223,0.49077195,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957669000,1777225957669000,0.49352685,0.4945344,0.49369815,0.4937909,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957769000,1777225957769000,0.4889298,0.4946166,0.49072418,0.49227035,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957869000,1777225957869000,0.4892523,0.49922475,0.49018914,0.49599957,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225957969000,1777225957969000,0.49570146,0.48817787,0.49100122,0.49089113,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958069000,1777225958069000,0.49512985,0.4923419,0.49556166,0.49072468,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958169000,1777225958169000,0.49097025,0.4923716,0.48918363,0.49195302,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958269000,1777225958269000,0.49504045,0.49342698,0.494244,0.4917779,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958369000,1777225958369000,0.49015373,0.49253452,0.49203572,0.4899902,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958469000,1777225958469000,0.4886312,0.49671885,0.4957381,0.4912639,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958569000,1777225958569000,0.4891761,0.49168646,0.49160215,0.4903985,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958669000,1777225958669000,0.49049926,0.49350318,0.49105567,0.49604413,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958769000,1777225958769000,0.4883814,0.49158666,0.4941615,0.4866121,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225958869000,1777225958869000,0.49089617,0.493262,0.49120423,0.49472,nan,nan,nan,nan,nan,nan,nan,nan,0
