timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1777225947369000,1777225947215000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947425000,1777225947267000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947473000,1777225947319000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947529000,1777225947371000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947577000,1777225947423000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947633000,1777225947475000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947681000,1777225947527000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947737000,1777225947579000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947785000,1777225947631000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947841000,1777225947683000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947889000,1777225947735000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947945000,1777225947787000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225947993000,1777225947839000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948049000,1777225947891000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948097000,1777225947943000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948153000,1777225947995000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948201000,1777225948047000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948257000,1777225948099000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948305000,1777225948151000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948361000,1777225948203000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948409000,1777225948255000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948465000,1777225948307000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948513000,1777225948359000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948569000,1777225948411000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948617000,1777225948463000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948673000,1777225948515000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225948721000,1777225948567000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
