timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1777225952605000,1777225952541000,197388,0.21607773,0.005846373,0.429294,0
1777225952609000,1777225952609000,197388,0.21708317,0.0042705787,0.4289589,0
1777225952741000,1777225952677000,197388,0.21661448,0.006040824,0.4292028,0
1777225952745000,1777225952745000,197388,0.21108837,-0.0034269309,0.42694256,0
1777225952877000,1777225952813000,197388,0.2165247,0.0049797953,0.42822355,0
1777225952881000,1777225952881000,197388,0.20813844,-0.0026321984,0.43290037,0
1777225953013000,1777225952949000,197388,0.2161308,0.005800062,0.4292384,0
1777225953017000,1777225953017000,197388,0.21427335,0.007422,0.43107808,0
1777225953149000,1777225953085000,197388,0.21672365,0.004127801,0.42809135,0
1777225953153000,1777225953153000,197388,0.21434025,0.0013611405,0.42962623,0
1777225953285000,1777225953221000,197388,0.21731631,0.005763993,0.42838845,0
1777225953289000,1777225953289000,197388,0.21578015,0.000995094,0.44460836,0
1777225953421000,1777225953357000,197388,0.21727844,0.004709777,0.42898458,0
1777225953425000,1777225953425000,197388,0.21111454,0.00326339,0.42344183,0
1777225953557000,1777225953493000,197388,0.21494237,0.007407232,0.42853317,0
1777225953561000,1777225953561000,197388,0.21023934,0.00090211065,0.42730376,0
1777225953693000,1777225953629000,197388,0.21567644,0.0066645904,0.43004438,0
1777225953697000,1777225953697000,197388,0.22530158,0.006570471,0.42238706,0
1777225953829000,1777225953765000,197388,0.21642996,0.0069858795,0.42876047,0
1777225953833000,1777225953833000,197388,0.21292488,0.0051677716,0.4363374,0
1777225953965000,1777225953901000,197388,0.21559353,0.005655794,0.42822522,0
1777225953969000,1777225953969000,197388,0.2165299,0.0030843078,0.43253973,0
1777225954101000,1777225954037000,197388,0.21673493,0.005918415,0.42967305,0
1777225954105000,1777225954105000,197388,0.20841032,0.0113461595,0.43283898,0
1777225954237000,1777225954173000,197388,0.21534011,0.005451591,0.42993894,0
1777225954241000,1777225954241000,197388,0.21288371,0.009898219,0.4357418,0
1777225954373000,1777225954309000,197388,0.2155806,0.006767967,0.42972472,0
1777225954377000,1777225954377000,197388,0.21459976,0.0031085066,0.43205613,0
1777225954513000,1777225954513000,197388,0.20893742,0.006902713,0.4239808,0
1777225954645000,1777225954581000,197388,0.21582828,0.0072925854,0.42991713,0
1777225954649000,1777225954649000,197388,0.21912399,0.008531432,0.43012878,0
1777225954781000,1777225954717000,197388,0.21705873,0.0075333826,0.42844364,0
1777225954785000,1777225954785000,197388,0.21381947,0.009681428,0.4330566,0
1777225954917000,1777225954853000,197388,0.21413395,0.005762791,0.42984244,0
1777225954921000,1777225954921000,197388,0.21828115,0.0032796955,0.4354168,0
1777225955057000,1777225955057000,197388,0.21155202,0.0017633747,0.4285985,0
1777225955189000,1777225955125000,197388,0.21529059,0.004600191,0.4287041,0
1777225955193000,1777225955193000,197388,0.20895813,0.007544788,0.4331159,0
1777225955325000,1777225955261000,197388,0.21433099,0.005895289,0.42986143,0
1777225955329000,1777225955329000,197388,0.2067725,0.0019600063,0.42788544,0
1777225955461000,1777225955397000,197388,0.21462996,0.005916134,0.42872542,0
1777225955465000,1777225955465000,197388,0.21818806,0.0070165414,0.41798487,0
1777225955597000,1777225955533000,197388,0.21494082,0.0066878707,0.4292817,0
1777225955601000,1777225955601000,197388,0.21045662,0.008087959,0.43313757,0
1777225955733000,1777225955669000,197388,0.21442443,0.006270277,0.42985067,0
1777225955737000,1777225955737000,197388,0.21847862,0.01173746,0.43101355,0
1777225955869000,1777225955805000,197388,0.21395232,0.0069968044,0.42968044,0
1777225955873000,1777225955873000,197388,0.22067477,0.013645043,0.43874663,0
1777225956005000,1777225955941000,197388,0.21437544,0.006494949,0.43065694,0
1777225956009000,1777225956009000,197388,0.21382853,-0.0039283982,0.4235347,0
1777225956141000,1777225956077000,197388,0.21492508,0.006121382,0.43049863,0
1777225956145000,1777225956145000,197388,0.2228292,0.00243685,0.43470332,0
