timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777318653419000,0.0,0.0,0.0,0.0
1777318653619000,0.0,0.0,0.0,0.0
1777318653819000,0.0,0.0,0.0,0.0
1777318654019000,0.0,0.0,0.0,0.0
1777318654219000,0.0,0.0,0.0,0.0
1777318654419000,0.0,0.0,0.0,0.0
1777318654619000,0.0,0.0,0.0,0.0
1777318654819000,0.0,0.0,0.0,0.0
1777318655019000,0.0,0.0,0.0,0.0
1777318655219000,0.0,0.0,0.0,0.0
1777318655419000,0.0,0.0,0.0,0.0
1777318655619000,0.0,0.0,0.0,0.0
1777318655819000,0.0,0.0,0.0,0.0
1777318656019000,0.0,0.0,0.0,0.0
1777318656219000,0.0,0.0,0.0,0.0
1777318656419000,0.0,0.0,0.0,0.0
1777318656619000,0.0,0.0,0.0,0.0
1777318656819000,8.2509054e-05,-0.00037428038,-5.19281e-07,0.0
1777318657019000,0.00013844749,-0.0016953904,2.355263e-05,0.0
1777318657219000,0.00033917016,-0.00292795,1.949587e-06,0.0
1777318657419000,0.0005807606,-0.003890578,1.4711961e-05,0.0
1777318657619000,0.0007844562,-0.0046544867,3.659528e-05,0.0
1777318657819000,0.0010344927,-0.005413735,9.09027e-05,0.0
1777318658019000,0.001081685,-0.0059998194,0.00012228455,0.0
1777318658219000,0.0010337933,-0.0065519293,0.0001351898,0.0
1777318658419000,0.0007545717,-0.007039907,0.0002180666,0.0
1777318658619000,0.0006415373,-0.007473083,0.00020583248,0.0
1777318658819000,0.00045107282,-0.005504088,0.00019472283,0.0
1777318659019000,0.0004147888,-0.0040717153,0.00017475903,0.0
1777318659219000,0.0002651956,-0.0031254943,0.00015429934,0.0
1777318659419000,0.00020484703,-0.002483744,0.00014092548,0.0
1777318659619000,0.00020112812,-0.0018980245,0.00013770383,0.0
1777318659819000,4.9562885e-05,-0.0014987147,0.00013869215,0.0
1777318660019000,6.138596e-05,-0.001132038,0.00013532274,0.0
1777318660219000,2.756817e-05,-0.00088178803,0.00010819982,0.0
1777318660419000,3.809221e-05,-0.0006476775,6.6745284e-05,0.0
1777318660619000,7.991147e-05,-0.00057400455,6.539028e-05,0.0
1777318660819000,8.317021e-06,-0.0003954225,9.855236e-05,0.0
1777318661019000,0.00012786365,-0.00030916126,4.9693434e-05,0.0
1777318661219000,3.1976033e-05,-0.000246608,5.9049264e-05,0.0
1777318661419000,-5.198495e-05,-0.00018637038,2.4024186e-05,0.0
1777318661619000,-3.138625e-05,-0.00016967519,4.636729e-05,0.0
1777318661819000,0.001862884,-0.0017450305,5.2338764e-05,0.0
1777318662019000,0.0037555941,-0.0032223,0.0013211429,0.0
1777318662219000,-0.0031391422,-6.3386244e-05,0.011807647,0.0
1777318662415000,-0.010246445,-1.7493545e-05,0.021270063,0.0
1777318662619000,-0.013601117,-0.00037496907,0.024722314,0.0
1777318662819000,-0.011548709,4.0830855e-05,0.022326088,0.0
1777318663019000,-0.0069272355,0.0006221457,0.01709708,0.0
1777318663219000,-0.0028390794,0.00074435817,0.011568692,0.0
1777318663419000,-0.0009262769,0.0018965129,0.004602968,0.0
1777318663619000,0.007199805,0.0030291304,-0.008178922,0.0
1777318663819000,0.01251536,0.0026450923,-0.016734751,0.0
1777318664019000,0.013598933,0.0030350634,-0.018553335,0.0
1777318664219000,0.008505102,0.0009765118,-0.015801972,0.0
1777318664419000,0.0030106932,-0.0017690042,-0.01124756,0.0
1777318664619000,0.00078387256,-0.001335996,-0.0070205834,0.0
1777318664819000,-0.00062389794,-0.0013681833,-0.004061076,0.0
1777318665019000,-0.0012203652,-0.0014048596,-0.0024034595,0.0
1777318665219000,-0.0011546619,-0.0013774927,-0.0017219854,0.0
1777318665419000,-0.00089582277,-0.0014252788,-0.0015471138,0.0
1777318665619000,-0.00057563424,-0.0010435841,-0.0016222678,0.0
1777318665815000,-0.00042785492,-0.0009667465,-0.0016336769,0.0
1777318666015000,-0.00029564535,-0.0007451083,-0.0015933696,0.0
1777318666219000,-0.0001815871,-0.00058096665,-0.0014583102,0.0
1777318666419000,-0.00014734147,-0.0003800817,-0.0014044767,0.0
1777318666619000,-1.3755636e-05,-0.00015522711,-0.001379878,0.0
1777318666819000,3.0323774e-05,0.00010582946,-0.001293967,0.0
1777318667019000,7.403684e-05,0.00055049936,-0.001279229,0.0
1777318667219000,7.370824e-05,0.00058140996,-0.0012239098,0.0
1777318667419000,9.184406e-05,0.0004753112,-0.001198439,0.0
1777318667619000,0.00015801017,0.00035200475,-0.0011798078,0.0
1777318667819000,0.00010095979,0.00035497293,-0.0010628838,0.0
1777318668019000,0.00014589426,0.00015719526,-0.0010254567,0.0
1777318668219000,5.036592e-05,0.00017150752,-0.000899674,0.0
1777318668419000,-2.3867246e-05,3.553786e-05,-0.00080851064,0.0
